Name,Address,Rating,Website,Hour,Crusine
The Night Owl Food Truck,"South and, S Meridian St, Indianapolis, IN 46225",5,http://mercersnightowl.com/,10:00 AM - 11:00 PM,American
Taqueria Mi Costa,"1430 W Washington St, Indianapolis, IN 46222",4.7,http://places.singleplatform.com/taquria-mi-costa/menu?ref=google,10:00 AM - 11:00 PM,Taco
Mr. & Mrs. Hotdog Stand,"801 W Washington St, Indianapolis, IN 46204",4.7,http://mrandmrshotdogstand.com/,10:00 AM - 11:00 PM,Hotdog
FELIX TACOS TRUCK,"3145 W Washington St, Indianapolis, IN 46222",4.7,Null,10:00 AM - 11:00 PM,Taco
